gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
구로구,가리봉동,14263,1756,1801,4118,994,461,267,61,8,3,2,1,1
구로구,구로2동,33050,2922,3688,6392,2944,1806,1103,296,68,27,3,2,1
구로구,개봉1동,35239,6497,4909,5322,3896,2879,2240,536,107,30,4,3,1
구로구,오류2동,39755,4055,4978,4613,4076,3028,2824,794,162,42,6,4,4
구로구,항동,16404,4794,1330,1515,1337,1559,1390,297,52,12,2,1,-
구로구,항동,16404,4794,1330,1515,1337,1559,1390,297,52,12,2,1,-
금천구,가산동,25973,7481,5448,12171,2099,1070,659,149,37,1,1,-,1
금천구,독산1동,44191,8195,7664,10877,4181,2985,2471,594,118,27,11,3,1
금천구,독산2동,20666,2300,2676,4340,2275,1481,1015,229,39,6,4,-,1
금천구,독산3동,28535,3311,3918,6176,2973,1795,1270,278,57,12,3,2,-
금천구,독산4동,17464,1831,2274,3550,1822,1169,835,208,40,7,1,3,-
금천구,시흥1동,35781,4576,5177,7056,3777,2574,1981,453,81,25,4,-,2
금천구,시흥2동,22092,2237,2791,2046,2153,1796,1675,421,105,31,8,2,3
금천구,시흥3동,11285,1320,1525,1512,1313,950,689,189,26,9,4,-,1
금천구,시흥4동,21520,2101,2665,3272,2362,1727,1322,300,71,20,8,1,-
금천구,시흥5동,20328,2401,2825,4067,2434,1495,1025,287,59,14,1,2,2
금천구,시흥5동,20328,2401,2825,4067,2434,1495,1025,287,59,14,1,2,2
영등포구,여의동,34463,4392,4550,4106,3106,2945,2597,535,153,29,8,7,5
영등포구,당산1동,21197,4147,4437,5620,2293,1494,1040,249,55,16,2,-,4
영등포구,당산2동,38011,8580,7035,9127,3356,2853,2370,471,120,27,11,-,1
영등포구,양평1동,17702,3752,4350,4809,1983,1294,855,181,47,13,3,2,-
영등포구,양평2동,22603,3885,4182,4386,2333,1776,1474,295,64,13,2,-,1
영등포구,신길1동,19167,3550,3718,6534,1853,1039,702,168,33,4,1,-,-
영등포구,신길3동,18086,2275,2720,3037,1749,1418,1096,252,31,11,2,1,-
영등포구,신길4동,12974,4546,1383,2283,1341,1041,785,172,23,7,1,-,-
영등포구,신길5동,12496,3923,1801,1933,1178,873,673,179,23,9,1,-,4
영등포구,신길6동,19071,3510,3664,4018,1975,1449,1203,270,50,20,8,-,5
영등포구,신길7동,20494,7239,3927,2220,1719,1683,1722,370,63,15,5,3,-
영등포구,대림1동,17751,3987,2047,3270,1699,1114,884,180,39,12,1,-,2
