gugun,dong,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
강서구,화곡1동,13518,6308,4060,2436,578,122,37,12,3,2
강서구,우장산동,3961,3360,3632,4104,819,146,24,16,3,2
강서구,우장산동,3961,3360,3632,4104,819,146,24,16,3,2
구로구,신도림동,3065,3103,3295,3161,588,130,33,6,6,-
구로구,구로1동,2351,2025,1820,1765,343,54,17,5,1,-
구로구,구로3동,7827,2341,1559,1156,279,55,17,3,1,-
구로구,구로4동,5356,2526,1494,944,202,43,9,5,1,1
구로구,구로5동,7459,3065,2164,1661,382,85,21,6,1,-
구로구,고척1동,3130,2305,1824,1779,377,80,10,4,1,-
구로구,고척2동,3962,2810,2278,1968,408,106,13,4,-,-
구로구,개봉2동,3304,3487,2823,2239,527,123,33,8,2,1
구로구,개봉3동,2774,2441,1802,1368,300,60,11,5,1,-
구로구,오류1동,6315,2539,1636,1129,283,57,15,5,2,2
구로구,수궁동,3065,2697,2084,1561,419,103,17,4,1,-
구로구,가리봉동,4118,994,461,267,61,8,3,2,1,1
구로구,구로2동,6392,2944,1806,1103,296,68,27,3,2,1
구로구,개봉1동,5322,3896,2879,2240,536,107,30,4,3,1
구로구,오류2동,4613,4076,3028,2824,794,162,42,6,4,4
구로구,항동,1515,1337,1559,1390,297,52,12,2,1,-
구로구,항동,1515,1337,1559,1390,297,52,12,2,1,-
금천구,가산동,12171,2099,1070,659,149,37,1,1,-,1
금천구,독산1동,10877,4181,2985,2471,594,118,27,11,3,1
금천구,독산2동,4340,2275,1481,1015,229,39,6,4,-,1
금천구,독산3동,6176,2973,1795,1270,278,57,12,3,2,-
금천구,독산4동,3550,1822,1169,835,208,40,7,1,3,-
금천구,시흥1동,7056,3777,2574,1981,453,81,25,4,-,2
금천구,시흥2동,2046,2153,1796,1675,421,105,31,8,2,3
금천구,시흥3동,1512,1313,950,689,189,26,9,4,-,1
금천구,시흥4동,3272,2362,1727,1322,300,71,20,8,1,-
금천구,시흥5동,4067,2434,1495,1025,287,59,14,1,2,2
금천구,시흥5동,4067,2434,1495,1025,287,59,14,1,2,2
영등포구,여의동,4106,3106,2945,2597,535,153,29,8,7,5
영등포구,당산1동,5620,2293,1494,1040,249,55,16,2,-,4
영등포구,당산2동,9127,3356,2853,2370,471,120,27,11,-,1
영등포구,양평1동,4809,1983,1294,855,181,47,13,3,2,-
