num,city,code,dongcode,gugun,dong,lat,lng
187,서울특별시,1117012600,11170,용산구,용산동3가,37.5319856,126.9774863
188,서울특별시,1117012700,11170,용산구,용산동5가,37.5261782,126.9746368
189,서울특별시,1117012800,11170,용산구,한강로3가,37.52909229999999,126.9606764
190,서울특별시,1117012900,11170,용산구,이촌동,37.5161216,126.9660695
191,서울특별시,1117013000,11170,용산구,이태원동,37.5400456,126.9921017
192,서울특별시,1117013100,11170,용산구,한남동,37.5311789,127.0062454
193,서울특별시,1117013200,11170,용산구,동빙고동,37.5252779,126.9947366
194,서울특별시,1117013300,11170,용산구,서빙고동,37.520402,126.9945799
195,서울특별시,1117013400,11170,용산구,주성동,37.5211485,126.9998472
196,서울특별시,1117013500,11170,용산구,용산동6가,37.52332699999999,126.9841218
197,서울특별시,1117013600,11170,용산구,보광동,37.5265039,127.0011919
198,서울특별시,1120010100,11200,성동구,상왕십리동,37.5679524,127.0249238
199,서울특별시,1120010200,11200,성동구,하왕십리동,37.5689559,127.0279598
200,서울특별시,1120010300,11200,성동구,홍익동,37.5662961,127.0317252
201,서울특별시,1120010400,11200,성동구,도선동,37.5640356,127.0336537
202,서울특별시,1120010500,11200,성동구,마장동,37.5662583,127.0453796
203,서울특별시,1120010600,11200,성동구,사근동,37.5610919,127.0459627
204,서울특별시,1120010700,11200,성동구,행당동,37.5574629,127.0347413
205,서울특별시,1120010800,11200,성동구,응봉동,37.5505499,127.0341139
206,서울특별시,1120010900,11200,성동구,금호동1가,37.5543643,127.0244491
207,서울특별시,1120011000,11200,성동구,금호동2가,37.5519831,127.0230371
208,서울특별시,1120011100,11200,성동구,금호동3가,37.5495775,127.0211452
209,서울특별시,1120011200,11200,성동구,금호동4가,37.5452268,127.025308
210,서울특별시,1120011300,11200,성동구,옥수동,37.54359350000001,127.0134664
211,서울특별시,1120011400,11200,성동구,성수동1가,37.5435182,127.0437247
212,서울특별시,1120011500,11200,성동구,성수동2가,37.5394428,127.0542534
213,서울특별시,1120011800,11200,성동구,송정동,37.5527653,127.0608277
214,서울특별시,1120012200,11200,성동구,용답동,37.5640647,127.0554067
215,서울특별시,1121510100,11215,광진구,중곡동,37.5626197,127.0853672
216,서울특별시,1121510200,11215,광진구,능동,37.5535934,127.0791827
217,서울특별시,1121510300,11215,광진구,구의동,37.5466951,127.0914159
218,서울특별시,1121510400,11215,광진구,광장동,37.5478086,127.1052825
219,서울특별시,1121510500,11215,광진구,자양동,37.5324005,127.0715809
220,서울특별시,1121510700,11215,광진구,화양동,37.5435547,127.073456
221,서울특별시,1121510900,11215,광진구,군자동,37.5530066,127.0736292
