gugun,dong,movein,moveout
송파구,삼전동,5583 ,6397 
송파구,가락본동,4416 ,4960 
송파구,가락1동,3053 ,3138 
송파구,가락2동,4494 ,5243 
송파구,문정1동,3613 ,4068 
송파구,문정2동,6542 ,7056 
송파구,잠실본동,5519 ,6041 
송파구,잠실4동,2728 ,3246 
송파구,잠실6동,2336 ,2430 
송파구,잠실7동,994 ,1266 
송파구,잠실2동,4554 ,5260 
송파구,잠실3동,4717 ,5312 
송파구,장지동,4130 ,6829 
송파구,위례동,6620 ,4792 
송파구,위례동,6620 ,4792 
강동구,강일동,7676 ,4004 
강동구,상일동,25734 ,3373 
강동구,명일1동,4134 ,4622 
강동구,명일2동,3042 ,3258 
강동구,고덕1동,3542 ,4617 
강동구,고덕2동,6347 ,3245 
강동구,암사2동,3532 ,2924 
강동구,암사3동,2627 ,2933 
강동구,천호1동,4491 ,5051 
강동구,천호3동,5260 ,6161 
강동구,성내1동,3162 ,3419 
강동구,성내2동,4624 ,4734 
강동구,성내3동,3930 ,4174 
강동구,둔촌1동,2 ,23 
강동구,둔촌2동,3622 ,4996 
강동구,암사1동,5121 ,6078 
강동구,천호2동,6033 ,6597 
강동구,길동,8558 ,8062 
