no,name,routename,lat,lng,address,telno
2826,수진,서울 도시철도 8호선,37.43732537,127.1406475,경기도 성남시 수정구 산성대로 지하200 (수진동),02-6311-8251
2827,모란,서울 도시철도 8호선,37.43291644,127.1294298,경기도 성남시 수정구 산성대로 지하100 (수진동),02-6311-8261
4126,언주,서울 도시철도 9호선,37.50744596,127.0342849,서울특별시 강남구 봉은사로 지하 201,02-2656-0926
4127,선정릉,서울 도시철도 9호선,37.51085355,127.043641,서울특별시 강남구 선릉로 지하 580,02-2656-0927
4128,삼성중앙,서울 도시철도 9호선,37.51288248,127.052705,서울특별시 강남구 봉은사로 지하 501,02-2656-0928
4129,봉은사,서울 도시철도 9호선,37.51436096,127.0608922,서울특별시 강남구 봉은사로 지하 601,02-2656-0929
4130,종합운동장,서울 도시철도 9호선,37.51096913,127.0733558,서울특별시 송파구 올림픽로 지하 23,02-2656-0930
4131,삼전,서울 도시철도 9호선,37.50474464,127.0877814,서울특별시 송파구 백제고분로 187,02-2656-0931
4132,석촌고분,서울 도시철도 9호선,37.50202826,127.0966224,서울특별시 송파구 삼학사로 53,02-2656-0932
4133,석촌,서울 도시철도 9호선,37.50594926,127.1063458,서울특별시 송파구 송파대로 439,02-2656-0933
4134,송파나루,서울 도시철도 9호선,37.51012026,127.1131234,서울특별시 송파구 오금로 165,02-2656-0934
4135,한성백제,서울 도시철도 9호선,37.51686537,127.118185,서울특별시 송파구 위례성대로 51,02-2656-0935
4136,올림픽공원,서울 도시철도 9호선,37.51608795,127.1306004,서울특별시 송파구 양재대로 1233,02-2656-0936
4137,둔촌오륜,서울 도시철도 9호선,37.51797547,127.1401702,서울특별시 송파구 강동대로 327,02-2656-0937
4138,중앙보훈병원,서울 도시철도 9호선,37.52961418,127.142757,서울특별시 강동구 명일로 117,02-2656-0938
